# module src/L/Condensation.lagda.md
# in-fence lines 6554
# GHCRTS -A64m -I0 -M8g
# command agda --profile=definitions src/L/Condensation.lagda.md
# load before 4.26 / 5.33 / 8.88
# load after  5.51 / 5.42 / 8.44
# wall seconds 122.80
# exit 0
Checking L.Condensation (/Users/alsg/Agentic/Bedrock/src/L/Condensation.lagda.md).
Total                                          119,663ms 
L.Condensation.envBndGen                            10ms 
L.Condensation.ZeroPayRel.out                       10ms 
L.Condensation.Δ₀-isTmBS                            10ms 
L.Condensation.EnvSet.memE-bnd                      10ms 
L.Condensation.AllIn.Δ₀-allInBndAt                  10ms 
L.Condensation.EnvSet.arSubK                        10ms 
L.Condensation.ClauseAgree.back                     10ms 

----- stderr -----

